building_id,name,address,city,postal_code,year_built,floors,total_units,construction_type,created_at
1,Immeuble 1,"Rue de la Paix, Levallois-Perret",Paris,75008,1984,4,9,Mixed,2020-01-01
2,Immeuble 2,"Rue de Versailles, Levallois-Perret",Neuilly-sur-Seine,75003,2007,6,9,Concrete,2020-01-01
3,Immeuble 3,"Rue de la Paix, Paris",Paris,75017,2008,3,9,Mixed,2020-01-01
4,Immeuble 4,"Avenue de Versailles, Levallois-Perret",Levallois-Perret,75018,1996,4,9,Stone,2020-01-01
5,Immeuble 5,"Impasse Montmartre, Paris",Paris,75014,1991,5,9,Concrete,2020-01-01
6,Immeuble 6,"Avenue de Flandre, Paris",Paris,75003,1994,3,9,Stone,2020-01-01
7,Immeuble 7,"Boulevard Marais, Paris",Paris,75015,2004,3,9,Stone,2020-01-01
8,Immeuble 8,"Rue de Marais, Paris",Levallois-Perret,75020,1993,7,9,Concrete,2020-01-01
9,Immeuble 9,"Rue de la Paix, Levallois-Perret",Paris,75010,1975,4,9,Concrete,2020-01-01
10,Immeuble 10,"Allée Montmartre, Boulogne-Billancourt",Levallois-Perret,75012,1980,5,9,Stone,2020-01-01
11,Immeuble 11,"Avenue de Versailles, Paris",Levallois-Perret,75003,2008,8,9,Concrete,2020-01-01
12,Immeuble 12,"Impasse Versailles, Paris",Paris,75015,1994,5,9,Mixed,2020-01-01
13,Immeuble 13,"Impasse la République, Levallois-Perret",Paris,75002,1984,3,9,Stone,2020-01-01
14,Immeuble 14,"Allée Montmartre, Paris",Paris,75019,2015,5,9,Concrete,2020-01-01
15,Immeuble 15,"Allée Belleville, Levallois-Perret",Boulogne-Billancourt,75005,1986,4,9,Concrete,2020-01-01
16,Immeuble 16,"Impasse Marais, Paris",Levallois-Perret,75019,1997,7,9,Stone,2020-01-01
17,Immeuble 17,"Boulevard la République, Paris",Neuilly-sur-Seine,75016,1975,3,9,Concrete,2020-01-01
18,Immeuble 18,"Avenue de Versailles, Paris",Levallois-Perret,75014,2008,3,9,Stone,2020-01-01
19,Immeuble 19,"Allée Marais, Boulogne-Billancourt",Neuilly-sur-Seine,75009,2005,3,9,Mixed,2020-01-01
20,Immeuble 20,"Rue de Versailles, Neuilly-sur-Seine",Paris,75011,1977,5,9,Stone,2020-01-01
