transaction_id,building_id,lease_id,transaction_date,type,amount,status,created_at
1,4,1.0,2023-11-23,Rent,1634.5,Paid,2023-11-23
2,4,1.0,2023-12-23,Rent,1634.5,Paid,2023-12-23
3,4,1.0,2024-01-22,Rent,1634.5,Paid,2024-01-22
4,4,1.0,2024-02-21,Rent,1634.5,Paid,2024-02-21
5,4,1.0,2024-03-22,Rent,1634.5,Paid,2024-03-22
6,4,1.0,2024-04-21,Rent,1634.5,Paid,2024-04-21
7,4,1.0,2024-05-21,Rent,1634.5,Paid,2024-05-21
8,4,1.0,2024-06-20,Rent,1634.5,Paid,2024-06-20
9,4,1.0,2024-07-20,Rent,1634.5,Paid,2024-07-20
10,4,1.0,2024-08-19,Rent,1634.5,Pending,2024-08-19
11,4,1.0,2024-09-18,Rent,1634.5,Paid,2024-09-18
12,4,1.0,2024-10-18,Rent,1634.5,Pending,2024-10-18
13,4,1.0,2024-11-17,Rent,1634.5,Paid,2024-11-17
14,4,1.0,2024-12-17,Rent,1634.5,Paid,2024-12-17
15,3,2.0,2022-01-26,Rent,456.17,Paid,2022-01-26
16,3,2.0,2022-02-25,Rent,456.17,Paid,2022-02-25
17,3,2.0,2022-03-27,Rent,456.17,Paid,2022-03-27
18,3,2.0,2022-04-26,Rent,456.17,Paid,2022-04-26
19,3,2.0,2022-05-26,Rent,456.17,Paid,2022-05-26
20,3,2.0,2022-06-25,Rent,456.17,Paid,2022-06-25
21,3,2.0,2022-07-25,Rent,456.17,Paid,2022-07-25
22,3,2.0,2022-08-24,Rent,456.17,Paid,2022-08-24
23,3,2.0,2022-09-23,Rent,456.17,Paid,2022-09-23
24,3,2.0,2022-10-23,Rent,456.17,Paid,2022-10-23
25,3,2.0,2022-11-22,Rent,456.17,Paid,2022-11-22
26,3,2.0,2022-12-22,Rent,456.17,Paid,2022-12-22
27,3,2.0,2023-01-21,Rent,456.17,Paid,2023-01-21
28,3,2.0,2023-02-20,Rent,456.17,Paid,2023-02-20
29,3,2.0,2023-03-22,Rent,456.17,Paid,2023-03-22
30,3,2.0,2023-04-21,Rent,456.17,Paid,2023-04-21
31,3,2.0,2023-05-21,Rent,456.17,Paid,2023-05-21
32,3,2.0,2023-06-20,Rent,456.17,Paid,2023-06-20
33,3,2.0,2023-07-20,Rent,456.17,Paid,2023-07-20
34,3,2.0,2023-08-19,Rent,456.17,Paid,2023-08-19
35,3,2.0,2023-09-18,Rent,456.17,Pending,2023-09-18
36,3,2.0,2023-10-18,Rent,456.17,Paid,2023-10-18
37,3,2.0,2023-11-17,Rent,456.17,Paid,2023-11-17
38,3,2.0,2023-12-17,Rent,456.17,Paid,2023-12-17
39,3,2.0,2024-01-16,Rent,456.17,Paid,2024-01-16
40,3,2.0,2024-02-15,Rent,456.17,Paid,2024-02-15
41,3,2.0,2024-03-16,Rent,456.17,Paid,2024-03-16
42,3,2.0,2024-04-15,Rent,456.17,Paid,2024-04-15
43,3,2.0,2024-05-15,Rent,456.17,Paid,2024-05-15
44,3,2.0,2024-06-14,Rent,456.17,Pending,2024-06-14
45,3,2.0,2024-07-14,Rent,456.17,Paid,2024-07-14
46,3,2.0,2024-08-13,Rent,456.17,Paid,2024-08-13
47,3,2.0,2024-09-12,Rent,456.17,Paid,2024-09-12
48,3,2.0,2024-10-12,Rent,456.17,Pending,2024-10-12
49,14,3.0,2022-12-02,Rent,659.78,Paid,2022-12-02
50,14,3.0,2023-01-01,Rent,659.78,Paid,2023-01-01
51,14,3.0,2023-01-31,Rent,659.78,Paid,2023-01-31
52,14,3.0,2023-03-02,Rent,659.78,Paid,2023-03-02
