incident_id,building_id,incident_date,type,severity,description,status,resolution_date,cost
1,1,2023-09-11,Leak,Medium,Incident 1,Under_Investigation,2023-10-14,9912.97
2,3,2024-04-28,Leak,High,Incident 2,Resolved,2024-05-24,11980.79
3,3,2023-01-05,Flood,High,Incident 3,Under_Investigation,2023-03-03,18072.13
4,3,2024-10-19,Break_in,Medium,Incident 4,Under_Investigation,2024-11-02,4118.61
5,4,2024-06-07,Accident,High,Incident 5,Resolved,2024-08-06,2566.25
6,5,2024-01-17,Fire,Medium,Incident 6,Under_Investigation,2024-02-16,4021.4
7,6,2023-09-07,Break_in,Medium,Incident 7,Resolved,2023-11-01,30406.88
8,6,2024-04-24,Leak,High,Incident 8,Resolved,2024-05-12,5359.31
9,7,2023-04-29,Fire,Low,Incident 9,Resolved,,9869.01
10,7,2023-09-28,Break_in,High,Incident 10,Resolved,2023-10-28,2106.99
11,8,2022-03-17,Fire,Medium,Incident 11,Resolved,2022-03-30,6727.89
12,8,2023-07-23,Accident,Low,Incident 12,Resolved,2023-09-04,8646.77
13,8,2024-09-22,Flood,Low,Incident 13,Resolved,2024-11-12,10664.15
14,8,2023-09-03,Flood,Critical,Incident 14,Resolved,2023-10-29,4510.6
15,9,2022-07-04,Fire,Medium,Incident 15,Under_Investigation,2022-07-30,9388.78
16,10,2022-09-05,Accident,Critical,Incident 16,Under_Investigation,2022-10-09,26249.11
17,10,2022-07-04,Accident,Low,Incident 17,Resolved,2022-07-20,7160.8
18,10,2024-03-09,Fire,Critical,Incident 18,Resolved,2024-04-30,3558.68
19,10,2022-12-25,Leak,Medium,Incident 19,Resolved,2023-01-08,11769.77
20,10,2022-04-25,Accident,Medium,Incident 20,Resolved,2022-05-27,6471.49
21,10,2024-05-17,Fire,Critical,Incident 21,Resolved,2024-06-17,8328.76
22,11,2024-01-24,Leak,Low,Incident 22,Under_Investigation,,2587.41
23,12,2022-04-22,Fire,Medium,Incident 23,Resolved,2022-06-06,12876.22
24,12,2024-01-14,Flood,High,Incident 24,Resolved,2024-03-12,8206.5
25,14,2024-03-06,Break_in,Critical,Incident 25,Resolved,2024-03-07,5570.55
26,15,2023-04-28,Fire,Critical,Incident 26,Resolved,2023-05-18,4805.18
27,16,2023-10-12,Break_in,High,Incident 27,Resolved,2023-12-08,20102.95
28,16,2024-10-03,Break_in,Critical,Incident 28,Resolved,2024-11-03,11242.14
29,16,2022-07-25,Fire,High,Incident 29,Under_Investigation,,1730.23
30,16,2024-05-11,Accident,High,Incident 30,Resolved,2024-06-19,4538.78
31,18,2022-04-17,Fire,High,Incident 31,Under_Investigation,2022-05-29,5039.93
