lease_id,unit_id,tenant_id,start_date,end_date,monthly_rent,deposit_amount,status,created_at
1,28,28,2023-11-23,2025-07-19,1634.5,3186.26,Active,2023-11-23
2,25,121,2022-01-26,2024-10-21,456.17,847.4,Terminated,2022-01-26
3,118,144,2022-12-02,2025-08-17,659.78,1326.78,Active,2022-12-02
4,119,57,2023-10-26,2024-12-28,631.08,1237.3,Terminated,2023-10-26
5,81,163,2023-04-21,2026-04-07,1633.19,3157.42,Active,2023-04-21
6,66,78,2023-10-27,2025-12-18,594.69,1213.72,Active,2023-10-27
7,93,30,2022-05-24,2023-07-09,678.92,1342.8,Terminated,2022-05-24
8,126,10,2022-11-08,2025-03-26,692.23,1383.58,Active,2022-11-08
9,153,30,2022-04-10,2023-12-06,1217.65,2423.46,Terminated,2022-04-10
10,65,138,2022-05-19,2024-06-19,528.41,1099.3,Terminated,2022-05-19
11,145,117,2023-01-15,2025-12-01,538.39,1075.46,Active,2023-01-15
12,1,191,2023-12-15,2026-06-20,908.24,1772.34,Active,2023-12-15
13,72,108,2023-08-25,2025-01-29,663.33,1236.92,Active,2023-08-25
14,178,107,2023-11-02,2025-02-10,523.72,999.5,Active,2023-11-02
15,171,126,2023-09-23,2025-11-13,1023.89,1848.74,Active,2023-09-23
16,67,72,2022-02-03,2025-01-09,1487.99,3094.72,Active,2022-02-03
17,71,95,2022-08-11,2024-11-07,1701.84,3261.42,Terminated,2022-08-11
18,165,114,2022-08-30,2024-09-04,1274.41,2525.66,Terminated,2022-08-30
19,5,26,2023-12-04,2025-12-14,1058.74,1908.52,Active,2023-12-04
20,130,140,2023-10-23,2025-10-24,937.96,1954.92,Active,2023-10-23
21,132,16,2023-02-12,2024-11-20,476.67,995.12,Terminated,2023-02-12
22,163,49,2022-05-06,2024-08-13,464.24,957.16,Terminated,2022-05-06
23,164,24,2023-11-10,2025-06-14,875.19,1958.34,Active,2023-11-10
24,34,165,2023-10-17,2026-06-19,1266.17,2600.7,Active,2023-10-17
25,94,6,2022-02-21,2024-01-28,858.84,1785.44,Terminated,2022-02-21
26,133,63,2022-05-09,2024-12-07,1385.56,2750.44,Terminated,2022-05-09
27,16,53,2022-03-12,2024-09-29,798.65,1570.46,Terminated,2022-03-12
28,176,54,2023-08-24,2025-04-01,1473.95,2695.08,Active,2023-08-24
29,35,60,2022-12-03,2024-05-02,1503.71,2870.98,Terminated,2022-12-03
