request_id,unit_id,tenant_id,request_date,category,description,urgency,status,completion_date,cost
1,1,183,2024-07-18,Electric,Maintenance issue 1,High,Completed,2024-08-06,341.67
2,1,188,2022-12-02,Plumbing,Maintenance issue 2,Low,Open,2022-12-25,174.19
3,1,182,2022-06-24,Structural,Maintenance issue 3,Medium,Completed,2022-07-11,1170.27
4,3,197,2024-02-19,Electric,Maintenance issue 4,High,Completed,2024-02-21,369.84
5,5,197,2022-10-24,Plumbing,Maintenance issue 5,Medium,Completed,2022-10-30,138.79
6,5,161,2024-07-02,Electric,Maintenance issue 6,Low,Completed,2024-07-12,94.59
7,9,196,2022-01-08,HVAC,Maintenance issue 7,Low,Open,2022-01-28,515.95
8,9,127,2022-01-12,Electric,Maintenance issue 8,Low,Open,2022-02-01,799.42
9,11,154,2024-06-23,Other,Maintenance issue 9,Low,Completed,2024-06-26,193.26
10,11,48,2023-03-02,Electric,Maintenance issue 10,Low,Completed,,634.88
11,11,148,2022-03-08,Other,Maintenance issue 11,Low,Completed,,904.22
12,12,42,2024-05-03,HVAC,Maintenance issue 12,Medium,Completed,2024-05-09,482.4
13,13,10,2024-01-08,Plumbing,Maintenance issue 13,Medium,Completed,2024-02-07,129.8
14,14,18,2024-02-16,Structural,Maintenance issue 14,High,Completed,2024-03-14,39.77
15,14,178,2022-10-03,HVAC,Maintenance issue 15,Low,Open,2022-10-07,390.68
16,16,15,2023-03-05,Plumbing,Maintenance issue 16,Medium,Completed,2023-03-25,292.62
17,16,156,2023-08-12,HVAC,Maintenance issue 17,Low,Completed,2023-08-26,755.19
18,16,187,2024-10-13,Structural,Maintenance issue 18,Medium,Completed,2024-10-30,298.47
19,16,75,2023-04-22,Electric,Maintenance issue 19,Low,Completed,2023-05-15,130.62
20,17,54,2022-08-30,Other,Maintenance issue 20,Critical,Open,,480.77
21,17,164,2023-12-18,Electric,Maintenance issue 21,Low,Completed,2024-01-05,447.55
22,19,18,2023-06-06,HVAC,Maintenance issue 22,Low,Completed,2023-07-02,191.85
23,19,86,2022-08-22,HVAC,Maintenance issue 23,Low,Completed,2022-09-13,44.12
24,19,87,2023-02-02,Structural,Maintenance issue 24,High,Completed,2023-02-13,354.0
25,20,161,2024-09-13,Structural,Maintenance issue 25,High,Completed,2024-09-18,272.75
26,20,191,2024-04-27,Plumbing,Maintenance issue 26,High,Completed,2024-05-27,328.29
27,20,138,2023-10-09,Plumbing,Maintenance issue 27,Low,Completed,2023-10-27,788.74
28,21,39,2023-12-26,HVAC,Maintenance issue 28,High,Completed,2023-12-29,235.65
29,21,43,2024-12-30,Other,Maintenance issue 29,Medium,Completed,2025-01-26,747.6
30,23,81,2023-09-24,Plumbing,Maintenance issue 30,Low,Completed,2023-10-17,199.38
31,25,116,2023-05-02,HVAC,Maintenance issue 31,Low,Completed,2023-05-14,229.28
32,25,10,2024-02-06,Electric,Maintenance issue 32,High,Open,2024-03-03,163.22
33,26,129,2024-09-15,Electric,Maintenance issue 33,Low,Open,2024-10-14,509.73
34,27,199,2024-12-08,HVAC,Maintenance issue 34,Low,Completed,2024-12-18,428.66
35,29,34,2024-11-23,Electric,Maintenance issue 35,Medium,Open,2024-12-15,210.18
36,31,2,2024-12-05,HVAC,Maintenance issue 36,High,Completed,2024-12-09,1526.21
37,31,134,2022-04-05,HVAC,Maintenance issue 37,Low,Completed,2022-04-09,673.82
38,32,52,2023-03-06,Electric,Maintenance issue 38,Low,Completed,2023-03-17,510.92
39,32,39,2022-08-29,Electric,Maintenance issue 39,Low,Completed,2022-09-07,712.45
40,33,53,2024-11-18,Other,Maintenance issue 40,Low,Completed,2024-11-22,192.23
41,33,63,2023-08-04,Electric,Maintenance issue 41,Low,Completed,2023-08-23,180.39
42,35,8,2022-04-14,Structural,Maintenance issue 42,High,Completed,2022-04-19,46.35
43,35,110,2022-04-21,Structural,Maintenance issue 43,Low,Open,2022-04-24,758.44
44,35,51,2023-10-02,Other,Maintenance issue 44,Low,Open,2023-10-13,507.35
45,35,179,2022-07-10,Structural,Maintenance issue 45,Low,Completed,2022-08-06,246.17
46,36,60,2024-08-11,Electric,Maintenance issue 46,Low,Completed,2024-08-27,700.88
47,37,180,2024-03-13,HVAC,Maintenance issue 47,Medium,Completed,2024-03-19,371.05
48,38,122,2022-03-03,Plumbing,Maintenance issue 48,Low,Open,2022-03-06,53.48
49,39,90,2023-08-02,Other,Maintenance issue 49,Medium,Completed,2023-08-27,286.15
50,39,143,2022-08-08,Plumbing,Maintenance issue 50,Medium,Open,2022-08-19,836.68
51,41,159,2024-04-26,Electric,Maintenance issue 51,Medium,Open,2024-05-04,623.96
52,41,178,2023-11-29,Other,Maintenance issue 52,Medium,Open,2023-12-06,577.31
53,43,178,2023-12-02,Electric,Maintenance issue 53,Low,Completed,2023-12-20,308.14
