unit_id,building_id,floor,unit_number,type,area_sqm,monthly_rent_base,created_at
1,1,1,11,T2,57.48,886.17,2020-01-01
2,1,1,12,T4,98.24,1652.3,2020-01-01
3,1,1,13,Studio,28.83,576.59,2020-01-01
4,1,2,21,T3,82.9,1276.74,2020-01-01
5,1,2,22,T2,52.65,954.26,2020-01-01
6,1,2,23,Studio,27.68,553.43,2020-01-01
7,1,3,31,T3,76.21,1008.67,2020-01-01
8,1,3,32,T2,46.38,843.77,2020-01-01
9,1,3,33,T2,49.94,931.42,2020-01-01
10,2,1,11,T3,70.46,1058.77,2020-01-01
11,2,1,12,T2,62.33,877.42,2020-01-01
12,2,1,13,Studio,30.34,457.53,2020-01-01
13,2,2,21,T3,72.28,1211.09,2020-01-01
14,2,2,22,T4,89.25,1537.57,2020-01-01
15,2,2,23,Studio,27.0,570.83,2020-01-01
16,2,3,31,Studio,26.99,785.23,2020-01-01
17,2,3,32,T3,74.93,1094.23,2020-01-01
18,2,3,33,T3,79.11,1077.92,2020-01-01
19,3,1,11,T2,56.04,704.03,2020-01-01
20,3,1,12,Studio,23.36,619.69,2020-01-01
21,3,1,13,T2,58.69,917.14,2020-01-01
22,3,2,21,Studio,29.42,569.89,2020-01-01
23,3,2,22,Studio,22.61,528.02,2020-01-01
24,3,2,23,T4,92.7,1605.71,2020-01-01
25,3,3,31,Studio,31.72,423.7,2020-01-01
26,3,3,32,T2,56.62,861.49,2020-01-01
27,3,3,33,T2,51.62,961.17,2020-01-01
28,4,1,11,T4,100.15,1593.13,2020-01-01
29,4,1,12,T2,50.8,869.08,2020-01-01
30,4,1,13,T3,76.66,1297.55,2020-01-01
31,4,2,21,T4,92.6,1481.43,2020-01-01
32,4,2,22,T2,49.47,780.38,2020-01-01
33,4,2,23,T2,59.06,1035.62,2020-01-01
34,4,3,31,T3,74.64,1300.35,2020-01-01
35,4,3,32,T4,96.81,1435.49,2020-01-01
36,4,3,33,T3,76.81,1353.8,2020-01-01
37,5,1,11,T4,94.82,1656.46,2020-01-01
38,5,1,12,T4,81.9,1582.19,2020-01-01
39,5,1,13,Studio,30.44,570.1,2020-01-01
40,5,2,21,T2,55.46,701.24,2020-01-01
41,5,2,22,T2,53.9,935.71,2020-01-01
42,5,2,23,Studio,37.39,548.17,2020-01-01
43,5,3,31,T3,70.96,1149.82,2020-01-01
44,5,3,32,Studio,34.58,632.88,2020-01-01
45,5,3,33,T2,52.35,951.33,2020-01-01
46,6,1,11,T2,55.49,996.86,2020-01-01
47,6,1,12,Studio,26.49,567.23,2020-01-01
48,6,1,13,Studio,28.04,453.65,2020-01-01
49,6,2,21,Studio,31.48,626.11,2020-01-01
50,6,2,22,T2,55.03,876.54,2020-01-01
51,6,2,23,Studio,22.92,557.94,2020-01-01
52,6,3,31,Studio,28.29,519.77,2020-01-01
53,6,3,32,T3,74.19,1240.41,2020-01-01
54,6,3,33,Studio,39.43,617.46,2020-01-01
55,7,1,11,T2,56.29,892.56,2020-01-01
56,7,1,12,T3,65.41,1197.35,2020-01-01
57,7,1,13,T4,95.3,1746.32,2020-01-01
58,7,2,21,T2,54.04,930.15,2020-01-01
59,7,2,22,T2,54.83,783.13,2020-01-01
60,7,2,23,T4,100.71,1575.19,2020-01-01
61,7,3,31,T2,58.96,809.06,2020-01-01
62,7,3,32,T4,102.01,1359.81,2020-01-01
63,7,3,33,T4,97.93,1719.05,2020-01-01
64,8,1,11,T2,50.05,843.37,2020-01-01
65,8,1,12,Studio,30.5,549.65,2020-01-01
66,8,1,13,Studio,22.25,606.86,2020-01-01
67,8,2,21,T4,89.69,1547.36,2020-01-01
68,8,2,22,T3,70.4,1354.99,2020-01-01
69,8,2,23,T4,91.08,1467.79,2020-01-01
70,8,3,31,T4,99.07,1376.91,2020-01-01
71,8,3,32,T4,96.14,1630.71,2020-01-01
72,8,3,33,Studio,21.96,618.46,2020-01-01
73,9,1,11,Studio,31.3,678.18,2020-01-01
74,9,1,12,Studio,23.82,467.95,2020-01-01
75,9,1,13,T4,97.61,1529.7,2020-01-01
76,9,2,21,T3,76.25,1234.64,2020-01-01
77,9,2,22,Studio,26.6,623.23,2020-01-01
78,9,2,23,T2,56.47,828.56,2020-01-01
79,9,3,31,T2,64.33,947.38,2020-01-01
80,9,3,32,T2,49.04,965.66,2020-01-01
81,9,3,33,T4,90.13,1578.71,2020-01-01
82,10,1,11,T2,60.79,817.93,2020-01-01
83,10,1,12,T4,99.82,1541.28,2020-01-01
84,10,1,13,T2,59.11,1089.68,2020-01-01
85,10,2,21,T3,73.77,1124.63,2020-01-01
86,10,2,22,T4,90.55,1418.42,2020-01-01
87,10,2,23,T2,54.61,934.12,2020-01-01
